,prix,Cheval,Carburant,Boite_a_vitesse,Modele,Kilometrage,Age
0,45000,6,Diesel,Manuelle,Logan,120 000 - 129 999,14
1,118000,6,Diesel,Manuelle,Logan,50 000 - 54 999,4
2,79000,6,Diesel,Manuelle,Logan,140 000 - 149 999,6
3,115000,7,Diesel,Manuelle,Logan,120 000 - 129 999,5
4,90000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,7
5,135000,6,Diesel,Automatique,Duster,160 000 - 169 999,5
6,114000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,5
7,52000,6,Diesel,Manuelle,Logan,300 000 - 349 999,17
8,95000,7,Diesel,Manuelle,Duster,170 000 - 179 999,10
9,185000,6,Diesel,Automatique,Duster,40 000 - 44 999,3
10,125000,6,Diesel,Manuelle,Logan,25 000 - 29 999,1
11,148000,6,Diesel,Manuelle,Dokker,55 000 - 59 999,4
12,140000,6,Diesel,Manuelle,Dokker,85 000 - 89 999,4
13,75000,6,Diesel,Manuelle,Logan,0 - 4 999,5
14,102000,6,Diesel,Manuelle,Duster,200 000 - 249 999,11
15,33000,6,Diesel,Manuelle,Logan,190 000 - 199 999,15
16,70000,7,Diesel,Manuelle,Dokker,10 000 - 14 999,8
17,127000,6,Diesel,Manuelle,Duster,95 000 - 99 999,6
18,138000,6,Diesel,Automatique,Duster,75 000 - 79 999,4
19,58000,6,Diesel,Manuelle,Logan,130 000 - 139 999,14
20,48000,6,Diesel,Manuelle,Logan,190 000 - 199 999,15
21,55000,6,Diesel,Manuelle,Logan,120 000 - 129 999,11
22,105000,5,Diesel,Manuelle,Dokker,120 000 - 129 999,5
23,72000,6,Diesel,Manuelle,Logan,160 000 - 169 999,8
24,128000,6,Diesel,Manuelle,Duster,120 000 - 129 999,5
25,48000,8,Essence,Manuelle,Logan,0 - 4 999,14
26,49000,8,Essence,Manuelle,Logan,200 000 - 249 999,17
27,115000,6,Diesel,Manuelle,Logan,120 000 - 129 999,5
28,87000,6,Diesel,Manuelle,Logan,90 000 - 94 999,8
29,117000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,4
30,122000,6,Diesel,Manuelle,Dokker,80 000 - 84 999,3
31,115000,6,Diesel,Manuelle,Logan,60 000 - 64 999,2
32,118000,6,Diesel,Manuelle,Dokker,40 000 - 44 999,5
33,155000,6,Diesel,Manuelle,Duster,80 000 - 84 999,4
34,89000,6,Diesel,Manuelle,Dokker,250 000 - 299 999,4
35,123000,6,Diesel,Manuelle,Logan,45 000 - 49 999,2
36,125000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,3
37,100000,6,Diesel,Manuelle,Logan,100 000 - 109 999,5
38,44000,8,Essence,Manuelle,Logan,200 000 - 249 999,15
39,196000,6,Diesel,Automatique,Duster,30 000 - 34 999,1
40,107000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,6
41,128000,6,Diesel,Manuelle,Dokker,45 000 - 49 999,2
42,175000,6,Diesel,Automatique,Duster,90 000 - 94 999,4
43,125000,6,Diesel,Manuelle,Duster,60 000 - 64 999,5
44,62000,8,Essence,Manuelle,Logan,30 000 - 34 999,12
45,178000,6,Diesel,Automatique,Duster,75 000 - 79 999,2
46,110000,7,Diesel,Manuelle,Duster,100 000 - 109 999,8
47,165000,6,Diesel,Manuelle,Duster,65 000 - 69 999,4
48,85000,6,Hybride,Manuelle,Logan,5 000 - 9 999,6
49,65000,7,Diesel,Manuelle,Logan,190 000 - 199 999,11
50,90000,6,Diesel,Manuelle,Dokker,250 000 - 299 999,8
51,79000,6,Diesel,Manuelle,Logan,200 000 - 249 999,8
52,128000,6,Diesel,Manuelle,Dokker,55 000 - 59 999,2
53,120000,6,Diesel,Manuelle,Duster,140 000 - 149 999,7
54,150000,6,Diesel,Manuelle,Logan,10 000 - 14 999,2
55,117000,6,Diesel,Manuelle,Duster,200 000 - 249 999,9
56,167000,6,Diesel,Manuelle,Duster,20 000 - 24 999,5
57,93000,6,Diesel,Manuelle,Logan,100 000 - 109 999,7
58,88000,6,Diesel,Manuelle,Logan,170 000 - 179 999,6
59,152000,6,Diesel,Manuelle,Duster,60 000 - 64 999,5
60,115000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,4
61,115000,7,Diesel,Manuelle,Dokker,120 000 - 129 999,5
62,113000,6,Diesel,Manuelle,Dokker,150 000 - 159 999,5
63,115000,6,Diesel,Manuelle,Logan,45 000 - 49 999,3
64,122000,6,Diesel,Manuelle,Duster,100 000 - 109 999,10
65,76000,6,Diesel,Manuelle,Dokker,160 000 - 169 999,7
66,158000,6,Diesel,Manuelle,Logan,5 000 - 9 999,1
67,82000,6,Diesel,Manuelle,Logan,95 000 - 99 999,5
68,105000,6,Diesel,Manuelle,Duster,180 000 - 189 999,8
69,95000,6,Diesel,Manuelle,Logan,25 000 - 29 999,7
70,175000,6,Diesel,Automatique,Duster,85 000 - 89 999,4
71,93000,7,Diesel,Manuelle,Dokker,170 000 - 179 999,10
72,135000,6,Diesel,Manuelle,Dokker,40 000 - 44 999,2
73,115000,6,Diesel,Manuelle,Duster,170 000 - 179 999,9
74,115000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,4
75,118000,6,Diesel,Manuelle,Duster,80 000 - 84 999,8
76,112000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,3
77,86000,6,Diesel,Manuelle,Logan,160 000 - 169 999,7
78,99000,6,Diesel,Manuelle,Dokker,170 000 - 179 999,6
79,108000,6,Diesel,Manuelle,Logan,60 000 - 64 999,5
80,142000,6,Essence,Automatique,Logan,15 000 - 19 999,1
81,232000,6,Diesel,Automatique,Duster,25 000 - 29 999,1
82,63000,6,Diesel,Manuelle,Logan,0 - 4 999,11
83,61000,6,Diesel,Manuelle,Logan,180 000 - 189 999,11
84,95000,6,Essence,Manuelle,Dokker,5 000 - 9 999,7
85,123000,6,Diesel,Manuelle,Duster,100 000 - 109 999,5
86,118000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,7
87,163000,6,Diesel,Manuelle,Duster,65 000 - 69 999,4
88,179000,6,Diesel,Automatique,Duster,75 000 - 79 999,4
89,118000,6,Diesel,Automatique,Dokker,95 000 - 99 999,4
90,133000,6,Diesel,Manuelle,Dokker,70 000 - 74 999,3
91,70000,12,Diesel,Manuelle,Logan,100 000 - 109 999,8
92,112000,6,Diesel,Manuelle,Logan,75 000 - 79 999,5
93,125000,6,Diesel,Manuelle,Duster,150 000 - 159 999,6
94,68000,6,Diesel,Manuelle,Logan,190 000 - 199 999,11
95,170000,6,Diesel,Automatique,Duster,95 000 - 99 999,4
96,82900,6,Diesel,Manuelle,Logan,110 000 - 119 999,5
97,115000,6,Diesel,Manuelle,Duster,100 000 - 109 999,12
98,89000,6,Diesel,Manuelle,Dokker,250 000 - 299 999,4
99,113000,6,Diesel,Manuelle,Dokker,90 000 - 94 999,4
100,114000,7,Diesel,Manuelle,Duster,130 000 - 139 999,6
101,36000,8,Essence,Manuelle,Logan,100 000 - 109 999,16
102,87000,6,Diesel,Manuelle,Logan,120 000 - 129 999,7
103,128000,6,Diesel,Manuelle,Logan,25 000 - 29 999,3
104,82000,6,Essence,Manuelle,Logan,160 000 - 169 999,7
105,112500,6,Diesel,Manuelle,Dokker,100 000 - 109 999,3
106,80000,6,Diesel,Manuelle,Logan,190 000 - 199 999,8
107,155000,6,Diesel,Manuelle,Duster,85 000 - 89 999,4
108,150000,6,Diesel,Manuelle,Duster,150 000 - 159 999,5
109,59000,6,Diesel,Manuelle,Logan,200 000 - 249 999,13
110,107000,7,Diesel,Manuelle,Dokker,100 000 - 109 999,5
111,108000,6,Diesel,Manuelle,Logan,70 000 - 74 999,5
112,90000,7,Diesel,Manuelle,Logan,80 000 - 84 999,3
113,78000,6,Diesel,Manuelle,Logan,200 000 - 249 999,9
114,132000,6,Diesel,Manuelle,Dokker,50 000 - 54 999,2
115,178000,6,Diesel,Automatique,Duster,60 000 - 64 999,3
116,147000,6,Diesel,Manuelle,Duster,95 000 - 99 999,4
117,75000,6,Essence,Manuelle,Logan,90 000 - 94 999,6
118,68000,6,Diesel,Manuelle,Logan,100 000 - 109 999,7
119,159000,6,Diesel,Manuelle,Duster,110 000 - 119 999,4
120,88000,6,Diesel,Manuelle,Duster,180 000 - 189 999,10
121,93000,6,Diesel,Manuelle,Logan,65 000 - 69 999,4
122,79900,6,Diesel,Manuelle,Logan,95 000 - 99 999,5
123,81500,6,Diesel,Manuelle,Logan,95 000 - 99 999,4
124,131900,6,Diesel,Automatique,Duster,95 000 - 99 999,5
125,105000,6,Diesel,Manuelle,Logan,160 000 - 169 999,5
126,53500,6,Diesel,Manuelle,Logan,20 000 - 24 999,15
127,135000,6,Diesel,Manuelle,Duster,65 000 - 69 999,5
128,122000,7,Diesel,Manuelle,Dokker,100 000 - 109 999,5
129,128000,6,Diesel,Manuelle,Duster,150 000 - 159 999,5
130,158000,6,Diesel,Automatique,Duster,130 000 - 139 999,5
131,53000,6,Diesel,Manuelle,Logan,200 000 - 249 999,15
132,46000,8,Essence,Manuelle,Logan,110 000 - 119 999,16
133,95000,6,Diesel,Manuelle,Logan,75 000 - 79 999,4
134,106000,6,Diesel,Manuelle,Logan,85 000 - 89 999,6
135,138000,6,Diesel,Manuelle,Dokker,80 000 - 84 999,2
136,115000,6,Diesel,Manuelle,Dokker,100 000 - 109 999,7
137,180000,6,Diesel,Automatique,Duster,40 000 - 44 999,4
138,175000,6,Diesel,Automatique,Duster,90 000 - 94 999,4
139,92000,6,Diesel,Manuelle,Duster,130 000 - 139 999,12
140,120000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,7
141,114000,6,Diesel,Manuelle,Logan,45 000 - 49 999,2
142,108000,6,Diesel,Manuelle,Dokker,100 000 - 109 999,6
143,38000,8,Essence,Manuelle,Logan,55 000 - 59 999,15
144,128000,6,Diesel,Manuelle,Duster,130 000 - 139 999,5
145,115000,6,Diesel,Manuelle,Duster,120 000 - 129 999,6
146,63000,6,Diesel,Manuelle,Logan,170 000 - 179 999,11
147,93000,6,Diesel,Manuelle,Duster,10 000 - 14 999,12
148,123000,6,Diesel,Manuelle,Logan,25 000 - 29 999,2
149,71000,6,Diesel,Manuelle,Logan,130 000 - 139 999,9
150,62000,6,Diesel,Manuelle,Logan,190 000 - 199 999,12
151,67000,6,Diesel,Manuelle,Logan,0 - 4 999,13
152,123000,6,Diesel,Manuelle,Logan,45 000 - 49 999,2
153,110000,6,Diesel,Manuelle,Dokker,100 000 - 109 999,6
154,85000,7,Essence,Manuelle,Logan,95 000 - 99 999,4
155,115000,6,Diesel,Manuelle,Dokker,80 000 - 84 999,3
156,57000,6,Diesel,Manuelle,Logan,200 000 - 249 999,15
157,75000,6,Diesel,Manuelle,Logan,100 000 - 109 999,11
158,38000,8,Essence,Manuelle,Logan,160 000 - 169 999,15
159,120000,8,Diesel,Manuelle,Dokker,190 000 - 199 999,5
160,94000,6,Diesel,Manuelle,Dokker,0 - 4 999,7
161,52000,8,Essence,Manuelle,Logan,140 000 - 149 999,12
162,50000,7,Essence,Manuelle,Logan,150 000 - 159 999,18
163,72000,6,Diesel,Manuelle,Logan,130 000 - 139 999,11
164,108000,6,Diesel,Manuelle,Dokker,75 000 - 79 999,5
165,85000,6,Diesel,Manuelle,Logan,150 000 - 159 999,9
166,60000,6,Essence,Manuelle,Logan,250 000 - 299 999,14
167,62000,6,Diesel,Manuelle,Logan,200 000 - 249 999,14
168,182000,6,Diesel,Manuelle,Duster,60 000 - 64 999,4
169,93000,7,Diesel,Manuelle,Dokker,170 000 - 179 999,9
170,105000,6,Diesel,Manuelle,Logan,0 - 4 999,5
171,125000,6,Diesel,Manuelle,Dokker,80 000 - 84 999,3
172,168000,6,Diesel,Manuelle,Duster,60 000 - 64 999,4
173,120000,6,Diesel,Manuelle,Duster,90 000 - 94 999,7
174,147000,6,Diesel,Manuelle,Duster,70 000 - 74 999,4
175,74000,6,Diesel,Manuelle,Logan,10 000 - 14 999,11
176,59000,6,Diesel,Manuelle,Logan,10 000 - 14 999,9
177,98000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,8
178,46000,8,Essence,Manuelle,Logan,10 000 - 14 999,17
179,103000,6,Diesel,Manuelle,Logan,100 000 - 109 999,5
180,98000,6,Diesel,Manuelle,Dokker,85 000 - 89 999,8
181,117000,6,Diesel,Manuelle,Duster,100 000 - 109 999,6
182,45000,8,Essence,Manuelle,Logan,55 000 - 59 999,12
183,85000,8,Diesel,Manuelle,Dokker,180 000 - 189 999,10
184,110000,8,Diesel,Manuelle,Duster,150 000 - 159 999,9
185,65000,7,Essence,Manuelle,Logan,15 000 - 19 999,7
186,113000,6,Diesel,Manuelle,Logan,75 000 - 79 999,6
187,65000,7,Essence,Manuelle,Logan,15 000 - 19 999,7
188,72000,6,Diesel,Manuelle,Logan,200 000 - 249 999,10
189,155000,6,Diesel,Manuelle,Logan,10 000 - 14 999,1
190,68000,6,Diesel,Manuelle,Logan,160 000 - 169 999,11
191,105000,7,Diesel,Manuelle,Duster,15 000 - 19 999,12
192,57000,6,Diesel,Manuelle,Logan,190 000 - 199 999,13
193,90000,6,Diesel,Manuelle,Dokker,200 000 - 249 999,9
194,158000,6,Diesel,Manuelle,Duster,35 000 - 39 999,4
195,125000,7,Diesel,Manuelle,Dokker,150 000 - 159 999,5
196,88000,6,Diesel,Manuelle,Logan,100 000 - 109 999,6
197,94000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,9
198,85000,6,Diesel,Manuelle,Dokker,200 000 - 249 999,9
199,116000,6,Diesel,Manuelle,Logan,35 000 - 39 999,4
200,110000,6,Diesel,Manuelle,Logan,5 000 - 9 999,4
201,105000,6,Diesel,Manuelle,Duster,0 - 4 999,12
202,10500,6,Diesel,Manuelle,Duster,0 - 4 999,12
203,123000,6,Diesel,Manuelle,Duster,110 000 - 119 999,7
204,58000,7,Diesel,Manuelle,Logan,160 000 - 169 999,15
205,127000,6,Essence,Automatique,Logan,35 000 - 39 999,1
206,111000,6,Diesel,Manuelle,Duster,130 000 - 139 999,7
207,93000,6,Diesel,Manuelle,Duster,200 000 - 249 999,11
208,180000,6,Diesel,Automatique,Duster,60 000 - 64 999,3
209,110000,6,Diesel,Manuelle,Logan,80 000 - 84 999,5
210,97000,6,Diesel,Manuelle,Duster,190 000 - 199 999,11
211,83000,6,Diesel,Manuelle,Logan,130 000 - 139 999,5
212,78000,6,Diesel,Manuelle,Logan,130 000 - 139 999,7
213,58000,6,Diesel,Manuelle,Logan,180 000 - 189 999,16
214,140000,6,Diesel,Manuelle,Duster,130 000 - 139 999,6
215,100000,6,Diesel,Manuelle,Dokker,70 000 - 74 999,6
216,147000,6,Diesel,Manuelle,Logan,30 000 - 34 999,1
217,125000,6,Diesel,Manuelle,Duster,80 000 - 84 999,8
218,103000,6,Diesel,Manuelle,Logan,55 000 - 59 999,4
219,47000,8,Essence,Manuelle,Logan,170 000 - 179 999,15
220,148000,6,Diesel,Manuelle,Duster,95 000 - 99 999,5
221,135000,6,Diesel,Manuelle,Duster,110 000 - 119 999,4
222,75000,6,Diesel,Manuelle,Dokker,85 000 - 89 999,10
223,107000,6,Diesel,Manuelle,Logan,110 000 - 119 999,5
224,153000,6,Diesel,Manuelle,Duster,90 000 - 94 999,4
225,97000,6,Diesel,Manuelle,Logan,150 000 - 159 999,5
226,97000,6,Diesel,Manuelle,Logan,90 000 - 94 999,5
227,95000,6,Diesel,Manuelle,Logan,95 000 - 99 999,7
228,92500,6,Diesel,Manuelle,Logan,0 - 4 999,3
229,118000,6,Diesel,Manuelle,Logan,55 000 - 59 999,4
230,38000,8,Essence,Manuelle,Logan,20 000 - 24 999,15
231,38000,8,Essence,Manuelle,Logan,20 000 - 24 999,15
232,118000,6,Diesel,Manuelle,Logan,55 000 - 59 999,4
233,65000,6,Diesel,Manuelle,Logan,110 000 - 119 999,11
234,87000,6,Diesel,Manuelle,Logan,160 000 - 169 999,19
235,95000,7,Diesel,Manuelle,Dokker,180 000 - 189 999,9
236,45000,8,Essence,Manuelle,Logan,180 000 - 189 999,13
237,97000,6,Diesel,Manuelle,Logan,160 000 - 169 999,3
238,125000,6,Diesel,Manuelle,Dokker,80 000 - 84 999,5
239,82000,6,Diesel,Manuelle,Logan,130 000 - 139 999,7
240,105000,7,Diesel,Manuelle,Dokker,130 000 - 139 999,6
241,65000,6,Diesel,Manuelle,Logan,110 000 - 119 999,11
242,53000,6,Diesel,Automatique,Logan,200 000 - 249 999,17
243,95000,6,Diesel,Automatique,Logan,110 000 - 119 999,7
244,100000,6,Diesel,Manuelle,Logan,120 000 - 129 999,5
245,65000,6,Diesel,Manuelle,Logan,190 000 - 199 999,14
246,87000,6,Diesel,Manuelle,Logan,95 000 - 99 999,4
247,98000,6,Diesel,Manuelle,Logan,10 000 - 14 999,5
248,140000,7,Diesel,Manuelle,Duster,45 000 - 49 999,8
249,50000,6,Diesel,Manuelle,Logan,140 000 - 149 999,16
250,80000,4,Diesel,Manuelle,Logan,95 000 - 99 999,9
251,103000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,10
252,50000,6,Diesel,Manuelle,Logan,200 000 - 249 999,17
253,120000,6,Diesel,Manuelle,Logan,25 000 - 29 999,4
254,115000,6,Diesel,Manuelle,Duster,120 000 - 129 999,8
255,95000,6,Diesel,Manuelle,Logan,160 000 - 169 999,5
256,58000,6,Diesel,Manuelle,Logan,200 000 - 249 999,17
257,98500,6,Diesel,Manuelle,Dokker,95 000 - 99 999,4
258,99000,6,Diesel,Manuelle,Logan,80 000 - 84 999,4
259,157000,6,Diesel,Manuelle,Duster,70 000 - 74 999,3
260,155000,6,Diesel,Manuelle,Dokker,5 000 - 9 999,4
261,161000,6,Diesel,Manuelle,Duster,60 000 - 64 999,3
262,155000,6,Diesel,Manuelle,Duster,130 000 - 139 999,4
263,155000,6,Essence,Manuelle,Dokker,5 000 - 9 999,4
264,52000,6,Diesel,Manuelle,Logan,250 000 - 299 999,17
265,73000,6,Diesel,Manuelle,Dokker,100 000 - 109 999,9
266,105000,6,Diesel,Manuelle,Dokker,180 000 - 189 999,6
267,130000,6,Diesel,Manuelle,Logan,10 000 - 14 999,3
268,77000,6,Diesel,Manuelle,Logan,200 000 - 249 999,9
269,50000,7,Diesel,Manuelle,Logan,5 000 - 9 999,15
270,46500,8,Diesel,Manuelle,Logan,10 000 - 14 999,17
271,67000,6,Diesel,Manuelle,Logan,160 000 - 169 999,14
272,55000,6,Diesel,Manuelle,Logan,200 000 - 249 999,17
273,165000,6,Diesel,Manuelle,Duster,60 000 - 64 999,4
274,85000,6,Diesel,Manuelle,Logan,130 000 - 139 999,8
275,143000,6,Diesel,Manuelle,Logan,0 - 4 999,1
276,148000,6,Diesel,Manuelle,Duster,110 000 - 119 999,4
277,143000,6,Diesel,Manuelle,Duster,100 000 - 109 999,4
278,113000,6,Diesel,Manuelle,Logan,55 000 - 59 999,4
279,67000,6,Diesel,Manuelle,Logan,160 000 - 169 999,12
280,116000,6,Diesel,Manuelle,Duster,130 000 - 139 999,8
281,89000,6,Diesel,Manuelle,Logan,80 000 - 84 999,6
282,82000,6,Diesel,Manuelle,Logan,170 000 - 179 999,4
283,82000,6,Diesel,Manuelle,Logan,200 000 - 249 999,9
284,49000,6,Diesel,Manuelle,Logan,300 000 - 349 999,16
285,64000,7,Diesel,Manuelle,Logan,10 000 - 14 999,14
286,85000,7,Diesel,Manuelle,Logan,170 000 - 179 999,7
287,80000,6,Diesel,Manuelle,Logan,140 000 - 149 999,9
288,132000,6,Diesel,Automatique,Duster,140 000 - 149 999,5
289,100000,6,Diesel,Manuelle,Logan,90 000 - 94 999,5
290,95000,6,Diesel,Manuelle,Dokker,130 000 - 139 999,7
291,135000,6,Diesel,Automatique,Duster,120 000 - 129 999,5
292,13600,6,Diesel,Manuelle,Dokker,90 000 - 94 999,5
293,140000,6,Diesel,Manuelle,Dokker,65 000 - 69 999,4
294,85000,7,Diesel,Manuelle,Logan,170 000 - 179 999,7
295,77000,6,Diesel,Manuelle,Logan,170 000 - 179 999,9
296,100000,6,Diesel,Manuelle,Logan,90 000 - 94 999,4
297,84000,6,Diesel,Manuelle,Logan,90 000 - 94 999,4
298,108500,6,Diesel,Manuelle,Duster,180 000 - 189 999,7
299,97000,6,Diesel,Manuelle,Logan,130 000 - 139 999,6
300,80000,6,Diesel,Manuelle,Logan,150 000 - 159 999,9
301,62000,6,Diesel,Manuelle,Logan,120 000 - 129 999,11
302,55000,6,Essence,Manuelle,Logan,25 000 - 29 999,13
303,105000,6,Diesel,Manuelle,Dokker,130 000 - 139 999,7
304,65000,6,Diesel,Manuelle,Logan,180 000 - 189 999,9
305,107000,6,Diesel,Manuelle,Logan,70 000 - 74 999,5
306,92000,6,Diesel,Manuelle,Duster,250 000 - 299 999,9
307,40000,8,Essence,Manuelle,Logan,40 000 - 44 999,16
308,135000,6,Diesel,Manuelle,Dokker,75 000 - 79 999,4
309,84000,5,Essence,Manuelle,Logan,170 000 - 179 999,5
310,70000,6,Diesel,Manuelle,Logan,120 000 - 129 999,15
311,118000,6,Diesel,Manuelle,Dokker,110 000 - 119 999,6
312,119000,6,Diesel,Manuelle,Dokker,50 000 - 54 999,3
313,158000,7,Diesel,Manuelle,Duster,120 000 - 129 999,4
314,58000,6,Diesel,Manuelle,Logan,200 000 - 249 999,16
315,45000,6,Diesel,Manuelle,Logan,5 000 - 9 999,12
316,75000,6,Diesel,Manuelle,Logan,0 - 4 999,10
317,93000,6,Diesel,Manuelle,Logan,120 000 - 129 999,5
318,85000,7,Diesel,Manuelle,Logan,75 000 - 79 999,7
319,42000,8,Essence,Manuelle,Logan,250 000 - 299 999,16
320,102000,6,Diesel,Manuelle,Duster,190 000 - 199 999,10
321,88000,6,Diesel,Manuelle,Dokker,85 000 - 89 999,5
322,106000,6,Diesel,Manuelle,Dokker,80 000 - 84 999,5
323,52000,6,Diesel,Manuelle,Logan,300 000 - 349 999,17
324,46000,6,Diesel,Manuelle,Logan,190 000 - 199 999,16
325,155000,6,Diesel,Manuelle,Duster,100 000 - 109 999,5
326,115000,6,Diesel,Manuelle,Dokker,110 000 - 119 999,4
327,112000,6,Diesel,Manuelle,Duster,130 000 - 139 999,9
328,95000,6,Diesel,Manuelle,Logan,90 000 - 94 999,4
329,109000,6,Diesel,Manuelle,Logan,100 000 - 109 999,3
330,95000,6,Diesel,Manuelle,Logan,120 000 - 129 999,7
331,102000,6,Diesel,Manuelle,Duster,170 000 - 179 999,10
332,100000,6,Diesel,Manuelle,Logan,90 000 - 94 999,4
333,165000,6,Diesel,Automatique,Duster,70 000 - 74 999,4
334,63000,6,Diesel,Manuelle,Logan,250 000 - 299 999,14
335,62000,6,Diesel,Manuelle,Logan,200 000 - 249 999,12
336,105000,7,Diesel,Manuelle,Duster,120 000 - 129 999,12
337,54000,8,Essence,Manuelle,Logan,140 000 - 149 999,11
338,89000,6,Diesel,Manuelle,Dokker,200 000 - 249 999,10
339,52000,6,Diesel,Manuelle,Logan,180 000 - 189 999,11
340,122000,6,Diesel,Manuelle,Dokker,110 000 - 119 999,5
341,119500,7,Diesel,Manuelle,Dokker,65 000 - 69 999,4
342,95000,6,Diesel,Manuelle,Logan,130 000 - 139 999,5
343,112000,6,Diesel,Manuelle,Dokker,90 000 - 94 999,4
344,76000,6,Diesel,Manuelle,Logan,140 000 - 149 999,9
345,105000,6,Diesel,Manuelle,Duster,130 000 - 139 999,11
346,87000,6,Diesel,Manuelle,Logan,140 000 - 149 999,7
347,45000,8,Essence,Manuelle,Logan,85 000 - 89 999,15
348,59000,6,Diesel,Manuelle,Logan,190 000 - 199 999,12
349,53400,9,Essence,Manuelle,Logan,200 000 - 249 999,15
350,92000,6,Diesel,Manuelle,Dokker,0 - 4 999,7
351,52000,6,Diesel,Manuelle,Logan,250 000 - 299 999,16
352,68000,6,Diesel,Manuelle,Logan,190 000 - 199 999,12
353,78000,6,Diesel,Manuelle,Logan,140 000 - 149 999,6
354,107000,6,Diesel,Manuelle,Logan,110 000 - 119 999,6
355,50000,7,Diesel,Manuelle,Logan,200 000 - 249 999,14
356,128000,6,Diesel,Manuelle,Duster,110 000 - 119 999,8
357,117000,6,Diesel,Manuelle,Logan,15 000 - 19 999,2
358,115000,6,Diesel,Manuelle,Duster,100 000 - 109 999,9
359,144000,6,Diesel,Manuelle,Duster,90 000 - 94 999,5
360,48000,8,Essence,Manuelle,Logan,250 000 - 299 999,14
361,145000,6,Diesel,Manuelle,Dokker,70 000 - 74 999,5
362,153000,6,Diesel,Manuelle,Duster,95 000 - 99 999,3
363,115000,6,Diesel,Manuelle,Dokker,55 000 - 59 999,3
364,34000,8,Essence,Manuelle,Logan,0 - 4 999,17
365,81000,6,Diesel,Manuelle,Logan,100 000 - 109 999,5
366,105000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,6
367,93000,6,Diesel,Manuelle,Logan,120 000 - 129 999,6
368,90000,6,Diesel,Manuelle,Logan,130 000 - 139 999,7
369,103000,6,Diesel,Manuelle,Logan,80 000 - 84 999,4
370,103000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,6
371,900000,6,Diesel,Manuelle,Duster,20 000 - 24 999,12
372,107000,6,Diesel,Manuelle,Duster,170 000 - 179 999,9
373,58000,6,Diesel,Manuelle,Logan,200 000 - 249 999,16
374,80000,6,Diesel,Manuelle,Logan,140 000 - 149 999,5
375,50000,6,Diesel,Manuelle,Logan,200 000 - 249 999,17
376,45000,8,Essence,Manuelle,Logan,180 000 - 189 999,17
377,68000,8,Essence,Manuelle,Logan,15 000 - 19 999,11
378,75000,6,Diesel,Manuelle,Dokker,160 000 - 169 999,6
379,258000,6,Diesel,Automatique,Duster,0 - 4 999,1
380,94000,6,Diesel,Manuelle,Logan,130 000 - 139 999,8
381,79000,7,Diesel,Manuelle,Logan,190 000 - 199 999,8
382,107000,6,Diesel,Manuelle,Dokker,40 000 - 44 999,4
383,79000,7,Diesel,Manuelle,Logan,190 000 - 199 999,8
384,130000,6,Diesel,Manuelle,Duster,85 000 - 89 999,5
385,75000,6,Diesel,Manuelle,Logan,200 000 - 249 999,7
386,120000,6,Diesel,Manuelle,Logan,40 000 - 44 999,2
387,86000,6,Diesel,Manuelle,Duster,0 - 4 999,11
388,85000,8,Essence,Manuelle,Duster,180 000 - 189 999,12
389,50000,8,Essence,Manuelle,Logan,200 000 - 249 999,15
390,128000,6,Diesel,Manuelle,Duster,90 000 - 94 999,7
391,49000,6,Diesel,Manuelle,Logan,190 000 - 199 999,14
392,142000,6,Diesel,Manuelle,Duster,90 000 - 94 999,4
393,108000,6,Diesel,Manuelle,Logan,65 000 - 69 999,5
394,57000,6,Diesel,Manuelle,Logan,0 - 4 999,15
395,75000,7,Diesel,Manuelle,Logan,120 000 - 129 999,14
396,105000,6,Diesel,Manuelle,Logan,100 000 - 109 999,5
397,95000,6,Diesel,Manuelle,Logan,0 - 4 999,3
398,130000,6,Essence,Automatique,Logan,10 000 - 14 999,1
399,115000,6,Diesel,Manuelle,Logan,55 000 - 59 999,2
400,45000,8,Essence,Manuelle,Logan,160 000 - 169 999,18
401,75000,6,Diesel,Manuelle,Logan,250 000 - 299 999,7
402,87000,6,Diesel,Manuelle,Logan,100 000 - 109 999,6
403,130000,6,Diesel,Manuelle,Duster,90 000 - 94 999,6
404,95000,6,Diesel,Manuelle,Logan,120 000 - 129 999,5
405,147000,6,Diesel,Manuelle,Duster,120 000 - 129 999,5
406,88000,6,Diesel,Manuelle,Logan,200 000 - 249 999,8
407,153000,6,Diesel,Manuelle,Duster,50 000 - 54 999,4
408,118000,6,Diesel,Manuelle,Dokker,110 000 - 119 999,4
409,165000,6,Diesel,Automatique,Duster,120 000 - 129 999,5
410,65000,6,Diesel,Manuelle,Logan,200 000 - 249 999,16
