,prix,Cheval,Carburant,Boite_a_vitesse,Modele,Kilometrage,Age
4071,102500,6,Diesel,Manuelle,Dokker,180 000 - 189 999,4
4072,49000,8,Essence,Manuelle,Logan,140 000 - 149 999,14
4073,117000,6,Diesel,Manuelle,Dokker,70 000 - 74 999,3
4074,98000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,6
4075,90000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,7
4076,96000,6,Diesel,Manuelle,Duster,140 000 - 149 999,11
4077,220000,6,Diesel,Automatique,Duster,20 000 - 24 999,1
4078,92000,6,Diesel,Manuelle,Logan,85 000 - 89 999,7
4079,50000,6,Diesel,Manuelle,Logan,200 000 - 249 999,14
4080,102000,6,Diesel,Manuelle,Duster,150 000 - 159 999,10
4081,125000,7,Diesel,Manuelle,Logan,10 000 - 14 999,4
4082,41000,8,Essence,Manuelle,Logan,25 000 - 29 999,16
4083,97000,6,Diesel,Manuelle,Logan,75 000 - 79 999,5
4084,98000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,7
4085,41000,6,Essence,Manuelle,Logan,15 000 - 19 999,15
4086,125000,6,Diesel,Manuelle,Duster,95 000 - 99 999,6
4087,130000,6,Diesel,Manuelle,Dokker,75 000 - 79 999,4
4088,47000,6,Diesel,Manuelle,Logan,250 000 - 299 999,14
4089,62000,6,Diesel,Manuelle,Logan,140 000 - 149 999,8
4090,58000,6,Diesel,Automatique,Logan,160 000 - 169 999,14
4091,83000,6,Diesel,Manuelle,Dokker,Plus de 500 000,6
4092,102000,6,Diesel,Manuelle,Logan,100 000 - 109 999,6
4093,48000,8,Essence,Manuelle,Logan,150 000 - 159 999,13
4094,80000,6,Diesel,Manuelle,Logan,130 000 - 139 999,9
4095,79000,6,Diesel,Manuelle,Logan,130 000 - 139 999,9
4096,158000,7,Diesel,Automatique,Duster,90 000 - 94 999,5
4097,52000,6,Diesel,Automatique,Logan,15 000 - 19 999,12
4098,65000,6,Diesel,Automatique,Logan,130 000 - 139 999,16
4099,127000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,3
4100,178000,6,Diesel,Manuelle,Duster,60 000 - 64 999,3
4101,168000,6,Diesel,Manuelle,Duster,65 000 - 69 999,4
4102,66000,6,Diesel,Manuelle,Logan,70 000 - 74 999,15
4103,110000,5,Diesel,Manuelle,Dokker,170 000 - 179 999,6
4104,60000,6,Diesel,Manuelle,Logan,190 000 - 199 999,11
4105,11400,6,Diesel,Manuelle,Logan,60 000 - 64 999,5
4106,139000,6,Diesel,Manuelle,Duster,95 000 - 99 999,8
4107,65000,6,Essence,Manuelle,Logan,120 000 - 129 999,7
4108,60000,6,Diesel,Manuelle,Logan,190 000 - 199 999,11
4109,115000,5,Diesel,Manuelle,Dokker,85 000 - 89 999,4
4110,65000,6,Diesel,Manuelle,Logan,180 000 - 189 999,12
4111,88000,6,Diesel,Manuelle,Dokker,250 000 - 299 999,10
4112,83000,6,Diesel,Manuelle,Logan,160 000 - 169 999,7
4113,65000,6,Diesel,Manuelle,Logan,80 000 - 84 999,14
4114,51000,6,Diesel,Manuelle,Logan,25 000 - 29 999,14
4115,40000,8,Essence,Manuelle,Logan,170 000 - 179 999,17
4116,84000,6,Diesel,Manuelle,Logan,130 000 - 139 999,6
4117,73000,6,Diesel,Manuelle,Logan,120 000 - 129 999,8
4118,71000,6,Diesel,Manuelle,Logan,250 000 - 299 999,10
4119,52000,8,Essence,Manuelle,Logan,160 000 - 169 999,16
